AS/400 Systems Management,"Adams/Hunter Publishing, Inc.",Arlington Heights,1086-881X,,,Trade Journals,English,Computers--Microcomputers,36487,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=36487
AT & T Technical Journal,AT & T Bell Laboratories,New York,8756-2324,2376-676X,,Scholarly Journals,English,Communications--Telephone And Telegraph|Engineering--Mechanical Engineering|Physics--Sound,41308,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=41308
AT & T Technology,AT & T Bell Laboratories,New York,0889-8979,,,Trade Journals,English,Communications--Telephone And Telegraph|Technology: Comprehensive Works,36092,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=36092
ATM Gigabit Monthly Newsletter,"Information Gatekeepers, LLC",Boston,1541-1222,1541-1230,,Trade Journals,English,Computers--Data Communications And Data Transmission Systems,27385,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=27385
ATM Newsletter,"Information Gatekeepers, LLC",Boston,1067-5221,,,Trade Journals,English,Computers--Data Communications And Data Transmission Systems,10821,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=10821
Abdominal Radiology,Springer Nature B.V.,New York,2366-004X,2366-0058,,Scholarly Journals,English,Medical Sciences--Gastroenterology|Medical Sciences--Radiology And Nuclear Medicine,31175,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=31175
Abstract and Applied Analysis,Hindawi Limited,New York,1085-3375,1687-0409,,Scholarly Journals,English,Mathematics,237364,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=237364
Academy of Economic Studies. Economy Informatics,INFOREC Association,Bucharest,1582-7941,2247-8523,,Scholarly Journals,English,Computers,1036459,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=1036459
Accounting Technology,SourceMedia,Boston,1068-6452,,,Trade Journals,English,Business And Economics--Computer Applications|Computers--Microcomputers|Computers--Personal Computers,36281,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=36281
Acta Applicandae Mathematicae,Springer Nature B.V.,Dordrecht,0167-8019,1572-9036,,Scholarly Journals,English,Mathematics,36162,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=36162
Acta Electrotechnica et Informatica,De Gruyter Poland,Kosice,1335-8243,1338-3957,,Scholarly Journals,Czech|English|Slovak,Computers--Information Science And Information Theory|Engineering--Electrical Engineering,2016346,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=2016346
Acta Informatica,Springer Nature B.V.,Heidelberg,0001-5903,1432-0525,,Scholarly Journals,English,Computers--Information Science And Information Theory,47313,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=47313
Acta Informatica Medica,Academy of Medical Sciences of Bosnia and Herzegovina,Sarajevo,0353-8109,1986-5988,,Scholarly Journals,English,Medical Sciences--Computer Applications,1216391,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=1216391
Acta Mathematica,Springer Nature B.V.,Dordrecht,0001-5962,1871-2509,,Scholarly Journals,English,Mathematics,54650,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=54650
Acta Mathematica Sinica. English Series,Springer Nature B.V.,Heidelberg,1439-8516,1439-7617,,Scholarly Journals,English,Mathematics,54875,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=54875
Acta Numerica,Cambridge University Press,Cambridge,0962-4929,1474-0508,,Scholarly Journals,English,Mathematics,33653,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=33653
Acta Scientiarum. Technology,Editora da Universidade Estadual de Maringá - EDUEM,Maringa,1806-2563,1806-2563,,Scholarly Journals,English|Portuguese,Technology: Comprehensive Works,2037655,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=2037655
Active Server Developer's Journal,Element K Journals,Louisville,1093-412X,1539-0330,,Trade Journals,English,Computers--Software,34283,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=34283
Actuators,MDPI AG,Basel,2076-0825,,,Scholarly Journals,English,Computers--Computer Engineering,2032444,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=2032444
Advanced Control for Applications,"Wiley Subscription Services, Inc.",Hoboken,2578-0727,,,Scholarly Journals,English,Computers,4669305,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=4669305
Advanced Imaging,SouthComm Business Media LLC,Melville,1042-0711,1930-6555,,Trade Journals,English,Photography,31564,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=31564
Advances in Applied Probability,Cambridge University Press,Sheffield,0001-8678,1475-6064,,Scholarly Journals,English,Mathematics,31672,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=31672
Advances in Artificial Intelligence,Hindawi Limited,New York,1687-7470,1687-7489,,Scholarly Journals,English,Computers--Artificial Intelligence,237361,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=237361
Advances in Artificial Neural Systems,Hindawi Limited,New York,1687-7594,1687-7608,,Scholarly Journals,English,Computers--Artificial Intelligence,237360,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=237360
Advances in Bioinformatics,Hindawi Limited,New York,1687-8027,1687-8035,,Scholarly Journals,English,Biology--Computer Applications,237358,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=237358
Advances in Calculus of Variations,Walter de Gruyter GmbH,Berlin,1864-8258,1864-8266,,Scholarly Journals,English,Mathematics,2030050,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=2030050
Advances in Decision Sciences,"Asia University, Taiwan",Taichung,2090-3359,2090-3367,,Scholarly Journals,English,Mathematics,25336,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=25336
Advances in Difference Equations,Springer Nature B.V.,New York,1687-1839,1687-1847,,Scholarly Journals,English,Mathematics,237355,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=237355
Advances in Fuzzy Systems,Hindawi Limited,New York,1687-7101,1687-711X,,Scholarly Journals,English,Engineering--Electrical Engineering,237354,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=237354
Advances in Geometry,Walter de Gruyter GmbH,Berlin,1615-715X,1615-7168,,Scholarly Journals,English,Mathematics,2030055,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=2030055
Advances in Human - Computer Interaction,Hindawi Limited,New York,1687-5893,1687-5907,,Scholarly Journals,English,Computers--Artificial Intelligence,237352,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=237352
Advances in Mathematical Physics,Hindawi Limited,New York,1687-9120,1687-9139,,Scholarly Journals,English,Mathematics|Physics,237350,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=237350
Advances in Multimedia,Hindawi Limited,New York,1687-5680,1687-5699,,Scholarly Journals,English,Communications--Computer Applications|Computers--Computer Graphics,237347,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=237347
Advances in Numerical Analysis,Hindawi Limited,New York,1687-9562,1687-9570,,Scholarly Journals,English,Mathematics,237345,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=237345
Advances in Operations Research,Hindawi Limited,New York,1687-9147,1687-9155,,Scholarly Journals,English,Business And Economics--Computer Applications,237344,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:pq_clntid=13963&svc_dat=xri:pqil:context=title&rft_dat=xri:pqd:PMID=237344
